,power,scenario,key,val
215,RUS,Eng_Tur_LSP,1,22.0
216,TUR,Eng_Tur_LSP,1,92.0
217,ENG,Eng_Tur_LSP,2,2.0
218,AUS,Eng_Tur_LSP,2,3.0
219,ITA,Eng_Tur_LSP,2,0.0
220,FRA,Eng_Tur_LSP,2,1.0
221,GER,Eng_Tur_LSP,2,0.0
222,RUS,Eng_Tur_LSP,2,1.0
223,TUR,Eng_Tur_LSP,2,36.0
224,ENG,Eng_Tur_LSP,3,57.0
225,AUS,Eng_Tur_LSP,3,33.0
226,ITA,Eng_Tur_LSP,3,26.0
227,FRA,Eng_Tur_LSP,3,38.0
228,GER,Eng_Tur_LSP,3,20.0
229,RUS,Eng_Tur_LSP,3,21.0
230,TUR,Eng_Tur_LSP,3,56.0
231,ENG,Eng_Tur_LSP,4,81.5
232,AUS,Eng_Tur_LSP,4,94.0
233,ITA,Eng_Tur_LSP,4,0.0
234,FRA,Eng_Tur_LSP,4,95.0
235,GER,Eng_Tur_LSP,4,0.0
236,RUS,Eng_Tur_LSP,4,59.0
237,TUR,Eng_Tur_LSP,4,62.44444444444444
238,ENG,Eng_Tur_LSP,5,100.0
239,AUS,Eng_Tur_LSP,5,100.0
240,ITA,Eng_Tur_LSP,5,100.0
241,FRA,Eng_Tur_LSP,5,100.0
242,GER,Eng_Tur_LSP,5,100.0
243,RUS,Eng_Tur_LSP,5,100.0
244,TUR,Eng_Tur_LSP,5,100.0
245,ENG,Tur_Eng_LSP,1,43.0
246,AUS,Tur_Eng_LSP,1,34.0
247,ITA,Tur_Eng_LSP,1,22.0
248,FRA,Tur_Eng_LSP,1,31.0
249,GER,Tur_Eng_LSP,1,31.0
250,RUS,Tur_Eng_LSP,1,28.0
251,TUR,Tur_Eng_LSP,1,61.0
252,ENG,Tur_Eng_LSP,2,2.0
253,AUS,Tur_Eng_LSP,2,7.0
254,ITA,Tur_Eng_LSP,2,0.0
255,FRA,Tur_Eng_LSP,2,7.0
256,GER,Tur_Eng_LSP,2,13.0
257,RUS,Tur_Eng_LSP,2,6.0
258,TUR,Tur_Eng_LSP,2,20.0
259,ENG,Tur_Eng_LSP,3,41.0
260,AUS,Tur_Eng_LSP,3,27.0
261,ITA,Tur_Eng_LSP,3,22.0
262,FRA,Tur_Eng_LSP,3,24.0
263,GER,Tur_Eng_LSP,3,18.0
264,RUS,Tur_Eng_LSP,3,22.0
265,TUR,Tur_Eng_LSP,3,41.0
266,ENG,Tur_Eng_LSP,4,77.0
267,AUS,Tur_Eng_LSP,4,73.0
268,ITA,Tur_Eng_LSP,4,0.0
269,FRA,Tur_Eng_LSP,4,79.42857142857143
270,GER,Tur_Eng_LSP,4,74.23076923076923
271,RUS,Tur_Eng_LSP,4,76.83333333333333
272,TUR,Tur_Eng_LSP,4,63.25
273,ENG,Tur_Eng_LSP,5,100.0
274,AUS,Tur_Eng_LSP,5,100.0
275,ITA,Tur_Eng_LSP,5,100.0
276,FRA,Tur_Eng_LSP,5,100.0
277,GER,Tur_Eng_LSP,5,100.0
278,RUS,Tur_Eng_LSP,5,100.0
279,TUR,Tur_Eng_LSP,5,100.0
